code,sequence,operationType,tradeType,version,primaryOperationId,primaryOperationCode,primaryOperationSequence,isTrading,isServices,isGeneration,businessUnitDescription,isActive,partyId,partyCNPJ,partyName,partyAlias,partyAgentAcronym,partyAgentCode,partyProfileCode,partyProfileDescription,counterpartyId,counterpartyCNPJ,counterpartyName,counterpartyAlias,counterpartyAgentAcronym,counterpartyAgentCode,counterpartyProfileCode,counterpartyProfileDescription,counterPartyIsGroupCompany,userOperatorName,submarketDescription,energySourceDescription,priceTypeDescription,startDate,endDate,contractedVolumeMwm,contractedVolumeMwh,seasonalityVolumeMwh,seasonalityVolumeMwm,finalVolumeMwh,finalVolumeMwm,basePrice,price,nominalPrice,mtm,retusd,classifications,userCreatedName,createdAt,userModifiedName,modifiedAt,userDeletedName,deletedAt,userBackofficeName,userCommercialName,origin,bbceCode,hasFlexibility,isFlexibilityLoadCurve,isFlexibilityByPeriod,flexibilityPercentageBottom,flexibilityPercentageTop,hasSeasonality,isSeasonalityByPeriod,seasonalityPercentageBottom,seasonalityPercentageTop,hasModulation,isModulationLoadCurve,hasDefaultFinancialFlow,hasReadjustment,reajustmentIndex,readjustmentBaseDate,readjustmentFirstDate,hasGuarantee,guaranteeValue,guaranteeDueDate,guaranteeTypes,hasRepresentativeFactor,representativeFactorPercent,losses,cceeContractCode,needApportionment,spread,floor,ceiling,billingStatus,aprovalStatusId,aprovalStatusDescription,year,month,startDay,endDay,id,operationTypeId,_Link,priceVariableTypeId,priceVariableIndex,isDraft,userOperatorCouterPartyName,portfolios,consentingIntervenerCompanyName,proposalCode,proposalId,basePriceWithReadjustment,parentOperationId,availableToUpdateApportionment,isDistribuition,partyTypeId,counterpartyTypeId,codeCcee,draftCreatedDate,observations,counterpartyIsAgentInMigration,partyIsAgentInMigration,isRetail,modulationFormTypeId,maxFlexVolumeMwm,minFlexVolumeMwm,maxFlexVolumeMwh,minFlexVolumeMwh,mesAno,resultado
VI5232-19,1,Venda,Venda,2020-05-11T18:08:51.4364849,,,,True,False,False,Trading,True,2200,09.495.582/0001-07,SAFIRA ADMINISTRACAO E COMERCIALIZACAO DE ENERGIA S.A.,,SAFIRA COM,2473,2510,SAFIRA COM I5,1587,56.990.526/0001-10,MARTINREA HONSEL BRASIL FUNDICAO E COMERCIO DE PECAS EM ALUMINIO LTDA.,MARTINREA HONSEL BRASI,MARTINREA,1565,85699,MARTINREA CL 514,False,Geovane Mancini,Sudeste,Incentivada 50%,Fixo,2019-04-01T00:00:00,2024-12-31T00:00:00,2.0,1440.0,,,1401.08832,1.945956,249.0,249.0,348870.91,238857.54,35.0,OPERAÇÕES_ESTRUTURADAS,Geovane Mancini,2019-05-03T14:35:04,,2019-07-30T11:43:41,,,,,Balcao,,True,False,False,10.0,10.0,True,True,10.0,10.0,False,,True,True,IGPM,2019-05-01T03:00:00,2020-01-01T02:00:00,False,,,,False,100.0,0.0,1289326-MARTINREA,Não,,,,Autorizado,3,Aprovada editada,2019,6,1,30,e007d295-f33a-49e4-9b87-828eaa980514,2,operations/e007d295-f33a-49e4-9b87-828eaa980514,,,,,,,,,,,,,,,,,,,,,,2.2,1.8,1584.0,1296.0,2019-06-01,-6598.471915359989
VI5085-19,1,Venda,Venda,2020-05-06T19:40:14.9816333,,,,True,False,False,Trading,True,2200,09.495.582/0001-07,SAFIRA ADMINISTRACAO E COMERCIALIZACAO DE ENERGIA S.A.,,SAFIRA COM,2473,2510,SAFIRA COM I5,8228,07.871.069/0001-30,ARMAZENS GERAIS MORRO DA PEDRA LTDA,ARMAZEM MORRO DA PEDRA,ARMAZEM MORRO DA PEDRA,69709,83825,ARMAZEM MORRO DA PEDRA,False,Marcos Barbosa,Norte,Incentivada 50%,Fixo,2019-04-01T00:00:00,2023-12-31T00:00:00,0.03429435,25.515,,,23.515,0.03160618,270.0,270.0,6349.05,1379.63,35.0,VAREJO,Marcos Barbosa,2019-01-15T09:46:08,Cintia Figueiredo,2020-03-04T11:01:11.9181791,,,,,Balcao,,True,False,False,10.0,10.0,True,True,10.0,10.0,False,,True,True,IGPM,2019-01-01T00:00:00,2020-01-01T00:00:00,False,,,,False,100.0,,1279434-ARMAZEM MORRO DA PEDRA,Não,,,,Autorizado,3,Aprovada editada,2019,8,1,31,495bdbf5-a799-46ac-9bab-cebc69c9bac9,2,operations/495bdbf5-a799-46ac-9bab-cebc69c9bac9,,,,,,,,,,,,,,,,,,,,,,0.037723785,0.030864915000000003,28.0665,22.9635,2019-08-01,-29.60760752688168
VI5048-19,1,Venda,Venda,2020-05-07T15:15:25.7511213,,,,True,False,False,Trading,True,2200,09.495.582/0001-07,SAFIRA ADMINISTRACAO E COMERCIALIZACAO DE ENERGIA S.A.,,SAFIRA COM,2473,2510,SAFIRA COM I5,8192,96.283.452/0003-69,TERRAR INDUSTRIA E COMERCIO LTDA,TERRAR,TERRAR,69734,83887,TERRAR,False,Geovane Mancini,Sudeste,Incentivada 50%,Fixo,2019-05-01T00:00:00,2023-12-31T00:00:00,1.32,982.08,,,890.0658,1.196325,255.0,261.08,232378.43,21174.67,35.0,VAREJO,Geovane Mancini,2018-10-25T11:18:59,Cintia Figueiredo,2020-02-05T07:30:30.420042,,,,,Balcao,,True,False,False,10.0,10.0,True,True,10.0,10.0,False,,True,True,IGPM,2018-10-01T00:00:00,2019-05-01T00:00:00,False,,,,False,100.0,,1296678-TERRAR,Não,,,,Autorizado,3,Aprovada editada,2019,8,1,31,98bf9e11-790a-43bd-b6ec-870d22c4ae5c,2,operations/98bf9e11-790a-43bd-b6ec-870d22c4ae5c,,,,,,,,,,,,,,,,,,,,,,1.4520000000000002,1.1880000000000002,1080.288,883.872,2019-08-01,491.4609517500006
VI5232-19,1,Venda,Venda,2020-05-11T18:08:51.4364849,,,,True,False,False,Trading,True,2200,09.495.582/0001-07,SAFIRA ADMINISTRACAO E COMERCIALIZACAO DE ENERGIA S.A.,,SAFIRA COM,2473,2510,SAFIRA COM I5,1587,56.990.526/0001-10,MARTINREA HONSEL BRASIL FUNDICAO E COMERCIO DE PECAS EM ALUMINIO LTDA.,MARTINREA HONSEL BRASI,MARTINREA,1565,85699,MARTINREA CL 514,False,Geovane Mancini,Sudeste,Incentivada 50%,Fixo,2019-04-01T00:00:00,2024-12-31T00:00:00,2.0,1488.0,,,1466.682912,1.971348,249.0,249.0,365204.07,17174.86,35.0,OPERAÇÕES_ESTRUTURADAS,Geovane Mancini,2019-05-03T14:35:04,,2019-07-30T11:43:41,,,,,Balcao,,True,False,False,10.0,10.0,True,True,10.0,10.0,False,,True,True,IGPM,2019-05-01T03:00:00,2020-01-01T02:00:00,False,,,,False,100.0,0.0,1316691-MARTINREA CL 514,Não,,,,Autorizado,3,Aprovada editada,2019,8,1,31,e007d295-f33a-49e4-9b87-828eaa980514,2,operations/e007d295-f33a-49e4-9b87-828eaa980514,,,,,,,,,,,,,,,,,,,,,,2.2,1.8,1636.8,1339.2,2019-08-01,241.76013212000018
VI5232-19,1,Venda,Venda,2020-05-11T18:08:51.4364849,,,,True,False,False,Trading,True,2200,09.495.582/0001-07,SAFIRA ADMINISTRACAO E COMERCIALIZACAO DE ENERGIA S.A.,,SAFIRA COM,2473,2510,SAFIRA COM I5,1587,56.990.526/0001-10,MARTINREA HONSEL BRASIL FUNDICAO E COMERCIO DE PECAS EM ALUMINIO LTDA.,MARTINREA HONSEL BRASI,MARTINREA,1565,85699,MARTINREA CL 514,False,Geovane Mancini,Sudeste,Incentivada 50%,Fixo,2019-04-01T00:00:00,2024-12-31T00:00:00,2.0,1488.0,,,1439.845344,1.935276,249.0,249.0,358521.41,91401.38,35.0,OPERAÇÕES_ESTRUTURADAS,Geovane Mancini,2019-05-03T14:35:04,,2019-07-30T11:43:41,,,,,Balcao,,True,False,False,10.0,10.0,True,True,10.0,10.0,False,,True,True,IGPM,2019-05-01T03:00:00,2020-01-01T02:00:00,False,,,,False,100.0,0.0,1316691-MARTINREA CL 514,Não,,,,Autorizado,3,Aprovada editada,2019,7,1,31,e007d295-f33a-49e4-9b87-828eaa980514,2,operations/e007d295-f33a-49e4-9b87-828eaa980514,,,,,,,,,,,,,,,,,,,,,,2.2,1.8,1636.8,1339.2,2019-07-01,-1947.0539048399974
VI5048-19,1,Venda,Venda,2020-05-07T15:15:25.7511213,,,,True,False,False,Trading,True,2200,09.495.582/0001-07,SAFIRA ADMINISTRACAO E COMERCIALIZACAO DE ENERGIA S.A.,,SAFIRA COM,2473,2510,SAFIRA COM I5,8192,96.283.452/0003-69,TERRAR INDUSTRIA E COMERCIO LTDA,TERRAR,TERRAR,69734,83887,TERRAR,False,Geovane Mancini,Sudeste,Incentivada 50%,Fixo,2019-05-01T00:00:00,2023-12-31T00:00:00,1.32,982.08,,,966.763272,1.299413,255.0,261.08,252402.48,73048.63,35.0,VAREJO,Geovane Mancini,2018-10-25T11:18:59,Cintia Figueiredo,2020-02-05T07:30:30.420042,,,,,Balcao,,True,False,False,10.0,10.0,True,True,10.0,10.0,False,,True,True,IGPM,2018-10-01T00:00:00,2019-05-01T00:00:00,False,,,,False,100.0,,1296678-TERRAR,Não,,,,Autorizado,3,Aprovada editada,2019,7,1,31,98bf9e11-790a-43bd-b6ec-870d22c4ae5c,2,operations/98bf9e11-790a-43bd-b6ec-870d22c4ae5c,,,,,,,,,,,,,,,,,,,,,,1.4520000000000002,1.1880000000000002,1080.288,883.872,2019-07-01,-711.2069426700006
VI5085-19,1,Venda,Venda,2020-05-06T19:40:14.9816333,,,,True,False,False,Trading,True,2200,09.495.582/0001-07,SAFIRA ADMINISTRACAO E COMERCIALIZACAO DE ENERGIA S.A.,,SAFIRA COM,2473,2510,SAFIRA COM I5,8228,07.871.069/0001-30,ARMAZENS GERAIS MORRO DA PEDRA LTDA,ARMAZEM MORRO DA PEDRA,ARMAZEM MORRO DA PEDRA,69709,83825,ARMAZEM MORRO DA PEDRA,False,Marcos Barbosa,Norte,Incentivada 50%,Fixo,2019-04-01T00:00:00,2023-12-31T00:00:00,0.02602823,19.365,,,21.301,0.02863038,270.0,270.0,5751.27,1970.56,35.0,VAREJO,Marcos Barbosa,2019-01-15T09:46:08,Cintia Figueiredo,2020-03-04T11:01:11.9181791,,,,,Balcao,,True,False,False,10.0,10.0,True,True,10.0,10.0,False,,True,True,IGPM,2019-01-01T00:00:00,2020-01-01T00:00:00,False,,,,False,100.0,,1279434-ARMAZEM MORRO DA PEDRA,Não,,,,Autorizado,3,Aprovada editada,2019,7,1,31,495bdbf5-a799-46ac-9bab-cebc69c9bac9,2,operations/495bdbf5-a799-46ac-9bab-cebc69c9bac9,,,,,,,,,,,,,,,,,,,,,,0.028631053,0.023425407,21.301499999999997,17.4285,2019-07-01,120.30353440860218
VI5048-19,1,Venda,Venda,2020-05-07T15:15:25.7511213,,,,True,False,False,Trading,True,2200,09.495.582/0001-07,SAFIRA ADMINISTRACAO E COMERCIALIZACAO DE ENERGIA S.A.,,SAFIRA COM,2473,2510,SAFIRA COM I5,8192,96.283.452/0003-69,TERRAR INDUSTRIA E COMERCIO LTDA,TERRAR,TERRAR,69734,83887,TERRAR,False,Geovane Mancini,Sudeste,Incentivada 50%,Fixo,2019-05-01T00:00:00,2023-12-31T00:00:00,1.32,950.4,,,967.07376,1.343158,255.0,261.08,252483.68,176548.99,35.0,VAREJO,Geovane Mancini,2018-10-25T11:18:59,Cintia Figueiredo,2020-02-05T07:30:30.420042,,,,,Balcao,,True,False,False,10.0,10.0,True,True,10.0,10.0,False,,True,True,IGPM,2018-10-01T00:00:00,2019-05-01T00:00:00,False,,,,False,100.0,,1296678-TERRAR,Não,,,,Autorizado,3,Aprovada editada,2019,6,1,30,98bf9e11-790a-43bd-b6ec-870d22c4ae5c,2,operations/98bf9e11-790a-43bd-b6ec-870d22c4ae5c,,,,,,,,,,,,,,,,,,,,,,1.4520000000000002,1.1880000000000002,1045.44,855.36,2019-06-01,2927.505601520003
VI5085-19,1,Venda,Venda,2020-05-06T19:40:14.9816333,,,,True,False,False,Trading,True,2200,09.495.582/0001-07,SAFIRA ADMINISTRACAO E COMERCIALIZACAO DE ENERGIA S.A.,,SAFIRA COM,2473,2510,SAFIRA COM I5,8228,07.871.069/0001-30,ARMAZENS GERAIS MORRO DA PEDRA LTDA,ARMAZEM MORRO DA PEDRA,ARMAZEM MORRO DA PEDRA,69709,83825,ARMAZEM MORRO DA PEDRA,False,Marcos Barbosa,Norte,Incentivada 50%,Fixo,2019-04-01T00:00:00,2023-12-31T00:00:00,0.05045417,36.327,,,39.96,0.0555,270.0,270.0,10789.2,7651.54,35.0,VAREJO,Marcos Barbosa,2019-01-15T09:46:08,Cintia Figueiredo,2020-03-04T11:01:11.9181791,,,,,Balcao,,True,False,False,10.0,10.0,True,True,10.0,10.0,False,,True,True,IGPM,2019-01-01T00:00:00,2020-01-01T00:00:00,False,,,,False,100.0,,1279434-ARMAZEM MORRO DA PEDRA,Não,,,,Autorizado,3,Aprovada editada,2019,6,1,30,495bdbf5-a799-46ac-9bab-cebc69c9bac9,2,operations/495bdbf5-a799-46ac-9bab-cebc69c9bac9,,,,,,,,,,,,,,,,,,,,,,0.055499587,0.045408752999999996,39.9597,32.6943,2019-06-01,710.5256456833332
VI5048-19,1,Venda,Venda,2020-05-07T15:15:25.7511213,,,,True,False,False,Trading,True,2200,09.495.582/0001-07,SAFIRA ADMINISTRACAO E COMERCIALIZACAO DE ENERGIA S.A.,,SAFIRA COM,2473,2510,SAFIRA COM I5,8192,96.283.452/0003-69,TERRAR INDUSTRIA E COMERCIO LTDA,TERRAR,TERRAR,69734,83887,TERRAR,False,Geovane Mancini,Sudeste,Incentivada 50%,Fixo,2019-05-01T00:00:00,2023-12-31T00:00:00,1.32,982.08,,,939.140784,1.262286,255.0,261.08,245190.93,118247.22,35.0,VAREJO,Geovane Mancini,2018-10-25T11:18:59,Cintia Figueiredo,2020-02-05T07:30:30.420042,,,,,Balcao,,True,False,False,10.0,10.0,True,True,10.0,10.0,False,,True,True,IGPM,2018-10-01T00:00:00,2019-05-01T00:00:00,False,,,,False,100.0,,1296678-TERRAR,Não,,,,Autorizado,3,Aprovada editada,2019,5,1,31,98bf9e11-790a-43bd-b6ec-870d22c4ae5c,2,operations/98bf9e11-790a-43bd-b6ec-870d22c4ae5c,,,,,,,,,,,,,,,,,,,,,,1.4520000000000002,1.1880000000000002,1080.288,883.872,2019-05-01,-4624.704196739999
